type,timestamp,wall_ts,wall_time_iso,angle,distance,snr_db,coherence,diameter_m,update_flag,error_plane_us,error_near_us,rho_hat,valid,loudness_db,loudness_rms,loudness_peak_abs,sound_pressure_level_db,frame_rms,peak_abs
data,25.408,1776433658.319012,2026-04-17T21:47:38.319+08:00,4.742241828908902,0.5289756025350884,-53.411206263879166,8.0,0.24,0,448.09913678456957,396.5379980366548,0.050908595050060006,True,88.93064693139019,0.05591937931264056,0.14112311601253283,91.81153075057766,0.07791239115670835,0.015716552734375
data,25.429333333333332,1776433658.3384442,2026-04-17T21:47:38.338+08:00,4.742241828908902,0.5289756025350884,-52.7182458734843,7.8670298464798165,0.24,0,173.8833488133353,455.00449526298615,3.8770371854306385,True,89.05086135546712,0.05669869504257465,0.14914619281211716,91.8896909983369,0.07861665213403383,0.016998291015625
data,25.450666666666667,1776433658.3680158,2026-04-17T21:47:38.368+08:00,4.742241828908902,0.5289756025350884,-53.35851961488718,8.0,0.24,0,103.87503165341526,535.2477228119379,4.124755321853254,True,89.05458579833626,0.05672301222135281,0.14604465288792895,91.83307972608439,0.0781059253424109,0.016845703125
data,25.472,1776433658.3889213,2026-04-17T21:47:38.388+08:00,4.742241828908902,0.5289756025350884,-53.20731651782193,7.981073451314522,0.24,0,129.30493900320988,523.7028704220583,4.165253903821347,True,89.05937905571484,0.05675432312235435,0.1502587858189705,91.82290108363941,0.07801444977910643,0.016265869140625
data,25.493333333333332,1776433658.4101117,2026-04-17T21:47:38.410+08:00,4.103893369020909,0.4921813578753021,-52.59839467174044,8.0,0.24,0,325.66705232340763,444.7647176396009,0.09702105671633789,True,88.92784941523483,0.055901371925463024,0.15110022998394018,91.96771990781343,0.07932607953553511,0.017913818359375
data,25.514666666666667,1776433658.4276075,2026-04-17T21:47:38.427+08:00,4.103893369020909,0.4921813578753021,-53.28547386629272,8.0,0.24,0,339.18634484190864,440.54872352553275,4.4546701970813825,True,88.82780577074136,0.055261196537647814,0.1419405165284103,91.88931191759274,0.07861322112006564,0.01690673828125
data,25.536,1776433658.4502208,2026-04-17T21:47:38.450+08:00,4.103893369020909,0.4921813578753021,-53.05461795264045,8.0,0.24,0,335.85361737308455,493.8547935276631,3.970879654664697,True,88.89628359727203,0.05569858670434723,0.14827925019104912,91.86044092999943,0.07835235279490968,0.01751708984375
data,25.557333333333332,1776433658.4675019,2026-04-17T21:47:38.467+08:00,3.1533844875100385,1.2413789799540098,-51.24192345440255,7.742192113636369,0.24,1,225.10208203722271,521.6794385257055,1.6448354271044425,True,88.34480199663588,0.05227211775678565,0.13651279759365592,91.91909454920064,0.07888323689209956,0.018035888671875
data,25.578666666666667,1776433658.4875555,2026-04-17T21:47:38.487+08:00,3.112440807934121,1.147610537147902,-53.06756433509311,7.962983052053521,0.24,0,252.4184747199554,321.9356830034085,0.07002418821569167,True,88.2246486202969,0.05155400705998204,0.13265178207492084,91.90163621666326,0.07872484359745341,0.01751708984375
data,25.6,1776433658.5160074,2026-04-17T21:47:38.516+08:00,3.8585532386307477,1.5113885019637938,-50.9376757109421,7.132930453727578,0.24,1,132.9311863757372,683.3439048089833,1.7073403001647687,True,88.55464645946797,0.05355035061069583,0.1422702194890256,91.88369045774414,0.07856235953755511,0.01959228515625
data,25.621333333333332,1776433658.5388398,2026-04-17T21:47:38.538+08:00,4.053507050505203,1.5535417278252968,-53.35575427614047,7.530876035144405,0.24,0,138.49944666652132,543.0120587694513,2.039262174178543,True,88.40641621353049,0.05264423345143332,0.13676457018604268,91.80418671919857,0.07784654306975052,0.016632080078125
data,25.642666666666667,1776433658.5587366,2026-04-17T21:47:38.558+08:00,3.0785173177235947,0.6613873880977625,-52.13921979549185,8.0,0.24,1,184.75337604494487,427.30303435495057,0.18167618380392087,True,88.29324402100664,0.05196275834477708,0.13692696524566356,91.85523217130469,0.07830538050191749,0.0174560546875
data,25.664,1776433658.5793831,2026-04-17T21:47:38.579+08:00,3.0845292290754287,0.3090406040410304,-52.38436828130058,7.706844280824721,0.24,1,138.03272394944025,491.0705854727118,0.11931542043793643,True,88.5833712456947,0.05372773816031283,0.14015087739057155,91.89605204079798,0.0786742475035532,0.017852783203125
data,25.685333333333332,1776433658.5982885,2026-04-17T21:47:38.598+08:00,4.4282556541531335,0.49399668410181313,-52.83637068315624,7.323358731132394,0.24,0,140.94937410702116,652.6826267333943,2.6232931404804085,True,88.90350739612391,0.05574492884814835,0.1480800658957674,91.88914103229745,0.07861167450688983,0.017242431640625
data,25.706666666666667,1776433658.6193311,2026-04-17T21:47:38.619+08:00,4.744680636169278,0.46138160903256337,-52.262216421862966,8.0,0.24,0,222.60489524963054,417.5542046527716,0.09191514338002138,True,89.18821873709892,0.05760244693526901,0.1527987198928896,91.95909053931035,0.07924730878509584,0.0186767578125
data,25.728,1776433658.6380556,2026-04-17T21:47:38.638+08:00,358.488480729162,0.22473429388335436,-51.8182285440512,7.789601392375928,0.24,1,366.7779180866671,498.5345974873052,0.10243094950970567,True,86.72402650021385,0.04337418431916943,0.11302599256634657,91.94988751150666,0.07916338773792232,0.018463134765625
data,25.749333333333333,1776433658.658651,2026-04-17T21:47:38.658+08:00,358.84357831330135,0.21135595769734508,-52.20923441228465,7.988296235871034,0.24,0,127.3839001270784,380.3651206393789,0.05974195042239517,True,87.00863437031603,0.044818953749728205,0.12036694619611003,91.98005901345502,0.07943884961350789,0.019073486328125
data,25.770666666666667,1776433658.6946135,2026-04-17T21:47:38.694+08:00,352.2575880487591,0.39558877432174633,-51.770591524483464,7.777189656636228,0.24,1,178.53563311333227,637.0895954531431,0.4957139753110425,True,86.37067617457902,0.04164508994332675,0.10043046289138985,91.90487626159977,0.07875421532808918,0.018157958984375
data,25.792,1776433658.7097685,2026-04-17T21:47:38.709+08:00,352.4645350069169,0.37045488885990185,-53.1351324123398,7.356435653499171,0.24,0,157.73059140311184,473.74589467534065,0.08308587630467952,True,86.2075855317056,0.04087043614315409,0.09744938614112168,91.87128216524263,0.07845020881814566,0.017486572265625
data,25.813333333333333,1776433658.7284675,2026-04-17T21:47:38.728+08:00,352.4645350069169,0.37045488885990185,-52.01633917529519,7.9311830265175365,0.24,0,87.57171381425381,495.63488667934325,3.866431466348426,True,86.25298266024598,0.04108460620965908,0.10193464854480225,91.91713750874851,0.07886546550635652,0.01788330078125
data,25.834666666666667,1776433658.7509193,2026-04-17T21:47:38.750+08:00,352.1404878121573,0.34753464729101324,-53.137355660707954,7.721119239787893,0.24,0,181.56164339363497,361.4661950688893,0.08740653467156671,True,86.21488357072948,0.04090479064142766,0.09636259425698157,91.91291702920822,0.07882715403285992,0.01708984375
data,25.856,1776433658.768057,2026-04-17T21:47:38.768+08:00,352.925870756132,0.32567650585707447,-52.356736971484665,7.5120513269380265,0.24,0,286.4939673872688,435.8356420345918,0.09262135806941527,True,86.04521671464543,0.040113525355635504,0.09880430622953801,91.92290186355284,0.07891782161803279,0.017242431640625
data,25.877333333333333,1776433658.7887294,2026-04-17T21:47:38.788+08:00,352.925870756132,0.32567650585707447,-53.51924805592314,8.0,0.24,0,145.01334870524093,538.6244355949402,3.6426115259140412,True,86.02163822079889,0.04000478186863722,0.09710088858297265,91.90221561094145,0.07873009513151275,0.017791748046875
data,25.898666666666667,1776433658.8084013,2026-04-17T21:47:38.808+08:00,357.6671343788703,0.1791135440580763,-50.892980947107205,7.683220095857708,0.24,1,110.7833710438104,436.8525283278714,0.10183200030751607,True,86.54448972492833,0.04248684495934581,0.10291252784817759,91.9497812520468,0.07916241929280979,0.018585205078125
data,25.92,1776433658.8283584,2026-04-17T21:47:38.828+08:00,358.5071963235263,0.1712561497876513,-52.75471339508456,7.614544203977923,0.24,0,335.92585307935093,535.8460249544977,0.08655667876365658,True,86.96752255771646,0.04460731916403408,0.11806139714544323,92.04695766018469,0.08005304918857631,0.017974853515625
data,25.941333333333333,1776433658.858819,2026-04-17T21:47:38.858+08:00,358.5071963235263,0.1712561497876513,-52.16774381009998,8.0,0.24,0,162.40782041223343,433.5413819629083,4.058426399899289,True,86.76621188317546,0.04358535521930211,0.10897933844471425,91.90117964666297,0.07872070556914504,0.017974853515625
data,25.962666666666667,1776433658.8792484,2026-04-17T21:47:38.879+08:00,3.8040930713556804,0.36545686935510024,-52.20817960600873,7.67201675011212,0.24,0,272.549225053684,450.2751857717588,2.6135069774981554,True,89.10988333828533,0.05708528354807759,0.15933518241454642,91.99120088063093,0.07954081556887077,0.019012451171875
data,25.984,1776433658.898823,2026-04-17T21:47:38.898+08:00,3.9787595744497537,0.3430042678627752,-51.28172141300908,7.723110043801025,0.24,0,168.5324337352699,463.11145640837,0.08578107145405724,True,88.99571854033096,0.056339880654686106,0.15427993961494468,91.86834026441451,0.07842364232194338,0.01763916015625
data,26.005333333333333,1776433658.9188528,2026-04-17T21:47:38.918+08:00,3.9787595744497537,0.3430042678627752,-52.620783940910286,7.807649364227149,0.24,0,246.92501238430836,387.62951695994525,3.496871422290533,True,89.05284585740868,0.05671165071319361,0.1550557779079943,91.92778187293972,0.07896217262096544,0.01922607421875
